record_no,reason_claimed,archived_file,archived_path_now,archived_size,archived_sha256,claimed_canonical_file,canonical_path_resolved,canonical_size,canonical_sha256,size_delta,hash_match,content_test,disposition,risk_note,duplicate_copies_in_project
1,older_version,L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.1__2026-02-07__MachineReadable__BAY02_1427.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.1__2026-02-07__MachineReadable__BAY02_1427.json,31693,86f244dfd4a10b41de19a8b5c42f9021e8e2da15caf15bb32fe855c937d66eba,L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.2__2026-02-07.txt,04_DOCUMENTATION/ORION_Distribution/Integrated_Docs_v1_1/ORION_Perplexity_Integrated_Docs_Bundle__v1.1__2026-02-07/L1_PERSONNEL__OrionStation_HumanRosterWithBios__v1.2__2026-02-07.txt,24142,d4326e545c54638e7c9d856805c28faff7907e925f541c03225d51dcf8abb046,7551,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
2,older_version,L3_GOV__CANON_INDEX_L2_Primacy__v0.1__2026-02-06__BAY01_1609.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/L3_GOV__CANON_INDEX_L2_Primacy__v0.1__2026-02-06__BAY01_1609.md,1437,7e3448b71d8493dd97672f76aec39931546faede867fdd62d343367f93b7a9a2,L3_GOV__CANON_INDEX_L2_Primacy__v0.2__2026-02-08__BAY02_0814.md,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/L3_GOV__CANON_INDEX_L2_Primacy__v0.2__2026-02-08__BAY02_0814.md,2382,5a3cdc20edc38dffb0e76be623f8dea13dd14c7fb3384cd769a7e2e1848d95d3,-945,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
3,older_version,L3_LOG__CONFLICT_MATRIX_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/L3_LOG__CONFLICT_MATRIX_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,608,ed96f235dfa305e074132fa7daf1699e26d28df42c455c8df522efba1b013433,L3_LOG__CONFLICT_MATRIX_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0809.md,03_SIMULATION/Location_Data/Sim_Locations/L3_LOG__CONFLICT_MATRIX_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0809.md,1625,e9cd43f068daa9fb9e43f931f58efca1477e538d8efa0009aec4173eec2e8463,-1017,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
4,older_version,L3_LOG__DRIFT_LOG_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/L3_LOG__DRIFT_LOG_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,472,81113be011e35dca7d2b66afbd6b4e2e8b5e97c592cad18392ff9569f7c20967,L3_LOG__DRIFT_LOG_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0814.md,05_BUILD_TOOLS/ZipWiz_Packaging/New ZipWiz/L3_LOG__DRIFT_LOG_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0814.md,1312,d7f9d1e136c34ed4d5df10fa54002ec86531cd26ad893f522d6ac201d0f9bada,-840,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
5,older_version,L3_QUEUE__PROMOTION_QUEUE_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/L3_QUEUE__PROMOTION_QUEUE_GUMAS_StagingBay__v0.1__2026-02-06__BAY01_1609.md,466,90a0952b704c1449a3e68e49bcc6936556e9442319035aa6013fe858f2d78aaf,L3_QUEUE__PROMOTION_QUEUE_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0809.md,03_SIMULATION/Location_Data/Sim_Locations/L3_QUEUE__PROMOTION_QUEUE_GUMAS_StagingBay__v0.2__2026-02-08__BAY02_0809.md,1369,6280b4d2d8d4da3326019a12195cc73aeba943ce8bbd0ce0bfb844a475734cce,-903,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
6,older_version,STAGING_MANIFEST__GUMAS_StagingBay__v0.2__2026-02-06__BAY01_1609.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/STAGING_MANIFEST__GUMAS_StagingBay__v0.2__2026-02-06__BAY01_1609.json,8368,84255aed4e1d83d30b247ee85160424b755ae1b6a8bf5e20674240a97501e2cb,STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,10383,fad547581176904c86da3f1b1776fa8717c9c9fe718b527b948caf61e3ae5eda,-2015,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
7,older_version,STAGING_MANIFEST__GUMAS_StagingBay__v0.3__2026-02-07__BAY02_1427.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/GUMAS_Staging/STAGING_CONTEXT_BUNDLE__v1/STAGING_MANIFEST__GUMAS_StagingBay__v0.3__2026-02-07__BAY02_1427.json,2336,4419c9a3eb820b3b6210cb43a036f00af5e5fdaaf56f42985b7e848018ed5252,STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,10383,fad547581176904c86da3f1b1776fa8717c9c9fe718b527b948caf61e3ae5eda,-8047,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
8,older_version,STAGING_MANIFEST__GUMAS_StagingBay__v0.3__2026-02-08__BAY02_0814.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/New ZipWiz/STAGING_MANIFEST__GUMAS_StagingBay__v0.3__2026-02-08__BAY02_0814.json,10498,5300c8f404c4d6651833b6227ebf9002544a79ef01643eda0457e926489c3d72,STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,02_DEVELOPMENT/Project_Main/Project_Files_GUMAS2_0/STAGING_MANIFEST__GUMAS_StagingBay__v0.4__2026-02-07__BAY01_2105.json,10383,fad547581176904c86da3f1b1776fa8717c9c9fe718b527b948caf61e3ae5eda,115,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),IRRECOVERABLE IF WITNESS ZIPS LOST,0
9,older_version,ORION.ENF.HOOKMAP.0001__v0.1.0__2026-02-14.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_ENFORCEMENT_SIDECAR__CTL_WORKSHOPGATES__v0.1.0__2026-02-14__STRUCTURED_ARCHIVE/enforcement/ORION.ENF.HOOKMAP.0001__v0.1.0__2026-02-14.json,1540,1e02b8159e2aae8df867628ac8bd724f85e38cc701e5441ba30557aaaceed115,ORION.ENF.HOOKMAP.0001__v0.1.2__2026-02-14.json,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION.ENF.HOOKMAP.0001__v0.1.2__2026-02-14.json,1689,c86eb9c9df10490e1c545da2b0709de8e4540893d34c8b3813fa3e1a7725e1bb,-149,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
10,older_version,ORION.ENF.REQUIRED_GATES.0001__v0.1.0__2026-02-14.json,06_ARCHIVES/_REDUNDANT_FILES_ARCHIVED/01_OLDER_VERSIONS/ORION_ENFORCEMENT_SIDECAR__CTL_WORKSHOPGATES__v0.1.0__2026-02-14__STRUCTURED_ARCHIVE/enforcement/ORION.ENF.REQUIRED_GATES.0001__v0.1.0__2026-02-14.json,2198,b0d1c0eaa3340b44a42ecae547b1617633b56d54e58e54ac1e5c05e582920445,ORION.ENF.REQUIRED_GATES.0001__v0.1.2__2026-02-14.json,02_DEVELOPMENT/Workshop_Dev/ORION_Workshop_Forge/ORION.ENF.REQUIRED_GATES.0001__v0.1.2__2026-02-14.json,3104,bb8cd50701eb89f43760ab67a8d39b960039429180116b3e62c9233c744335e3,-906,NO,TEXT_DIVERGENT,DO_NOT_DELETE (content NOT preserved by claimed canonical),copy survives elsewhere,0
