seed,turn,stability,true_stability,risk,active_civil_wars,settlements,mediated_settlements,brokered_insurgencies,broken_accords,successions,complacency_mean,complacency_max,grievance_mean,comp_avg_population_stability,comp_avg_leader_legitimacy,comp_avg_trust,comp_active_conflict_count,comp_active_insurgency_count,comp_conflict_pressure,comp_insurgency_pressure,comp_stability_contrib_population,comp_stability_contrib_legitimacy,comp_stability_contrib_trust,comp_stability_contrib_conflict_relief,comp_risk_contrib_population,comp_risk_contrib_legitimacy,comp_risk_contrib_trust,comp_risk_contrib_conflict,comp_risk_contrib_insurgency,v3_new_insurgencies,v3_civil_wars_started,v3_tech_breakthroughs,v3_migrations,v3_fragmentation_events,v3_negotiations_concluded,v3_intelligence_ops,ins_organizing,ins_active,ins_escalated,ins_civil_war,ins_suppressed,ins_other,pop_demographic_stress,pop_housing_pressure,pop_unemployment,pop_food_security,pop_refugees,pop_war_casualties,leader_legitimacy,leader_inst_control,leader_war_pressure,leader_elite_support,leader_scandals
42,1,0.6042,0.6042,0.3553,0,0,0,0,0,0,0.0,0.0,0.0,0.598,0.6937,0.4973,3,0,0.375,0.0,0.2093,0.2081,0.1243,0.0625,0.1407,0.0766,0.1005,0.0375,0.0,0,0,0,12,0,1,7,0,0,0,0,0,0,0.1506,0.225,0.12,0.705,0.0221,0.0045,0.6885,0.5,0.015,0.6,0
42,2,0.6054,0.6054,0.3537,0,0,0,0,0,0,0.0,0.0,0.0,0.6106,0.6784,0.5027,3,0,0.375,0.0,0.2137,0.2035,0.1257,0.0625,0.1363,0.0804,0.0995,0.0375,0.0,0,0,0,6,0,2,11,0,0,0,0,0,0,0.1459,0.1688,0.12,0.7097,0.0425,0.0093,0.6779,0.5,0.0212,0.6,0
42,3,0.6071,0.6071,0.3517,0,0,0,0,0,0,0.0,0.0,0.0,0.6213,0.6673,0.5078,3,0,0.375,0.0,0.2174,0.2002,0.1269,0.0625,0.1326,0.0832,0.0984,0.0375,0.0,0,0,0,11,0,1,12,0,0,0,0,0,0,0.1442,0.1266,0.12,0.7142,0.0611,0.0141,0.6704,0.5,0.0281,0.6,0
42,4,0.6106,0.6106,0.3482,0,0,0,0,0,0,0.0,0.0,0.0,0.6322,0.6608,0.5144,3,0,0.375,0.0,0.2213,0.1982,0.1286,0.0625,0.1287,0.0848,0.0971,0.0375,0.0,0,0,0,13,0,3,10,0,0,0,0,0,0,0.1455,0.0949,0.12,0.7185,0.0782,0.019,0.666,0.5,0.031,0.6,0
42,5,0.612,0.612,0.3468,0,0,0,0,0,0,0.0,0.0,0.0,0.6373,0.6559,0.5186,3,0,0.375,0.0,0.223,0.1968,0.1297,0.0625,0.127,0.086,0.0963,0.0375,0.0,0,0,0,14,0,1,5,0,0,0,0,0,0,0.1489,0.0712,0.12,0.7226,0.094,0.024,0.6625,0.5,0.0343,0.6,0
42,6,0.6146,0.6146,0.3441,0,0,0,0,0,0,0.0,0.0,0.0,0.6456,0.6505,0.524,3,0,0.375,0.0,0.226,0.1951,0.131,0.0625,0.124,0.0874,0.0952,0.0375,0.0,0,0,0,15,0,2,13,0,0,0,0,0,0,0.15,0.0534,0.12,0.7265,0.1088,0.029,0.659,0.5,0.04,0.6005,0
42,7,0.6165,0.6165,0.3422,0,0,0,0,0,0,0.0,0.0,0.0,0.6522,0.6475,0.5261,3,0,0.375,0.0,0.2283,0.1942,0.1315,0.0625,0.1217,0.0881,0.0948,0.0375,0.0,0,0,0,9,0,0,11,0,0,0,0,0,0,0.1525,0.0401,0.12,0.7302,0.1225,0.0341,0.6569,0.5,0.0457,0.6005,0
42,8,0.6174,0.6174,0.358,0,0,0,1,0,0,0.0,0.0,0.0,0.6537,0.6459,0.5295,3,1,0.375,0.1667,0.2288,0.1938,0.1324,0.0625,0.1212,0.0885,0.0941,0.0375,0.0167,1,0,0,15,0,1,8,0,1,0,0,0,0,0.1554,0.0301,0.12,0.7337,0.1354,0.0392,0.6557,0.5,0.0514,0.601,0
42,9,0.6158,0.6158,0.3594,0,0,0,1,0,0,0.012,0.012,0.0,0.6539,0.6361,0.5344,3,1,0.375,0.1667,0.2289,0.1908,0.1336,0.0625,0.1211,0.091,0.0931,0.0375,0.0167,0,0,0,10,0,3,14,0,1,0,0,0,0,0.1594,0.0228,0.12,0.737,0.1474,0.0444,0.6488,0.5,0.0571,0.5919,1
42,10,0.621,0.621,0.3545,0,0,0,1,0,0,0.024,0.024,0.0157,0.664,0.6397,0.5368,3,1,0.375,0.1667,0.2324,0.1919,0.1342,0.0625,0.1176,0.0901,0.0926,0.0375,0.0167,0,0,0,11,0,2,9,0,1,0,0,0,0,0.1631,0.0214,0.12,0.7401,0.1586,0.0497,0.6507,0.5,0.0543,0.5924,1
